latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
30.37892,70.84638,331.86,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.25,14.97,D
30.4089,70.96731,325.16,0.44,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.68,2.04,D
30.40801,70.96871,325.86,0.44,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,291.97,2.3,D
31.09464,73.72495,329.83,0.33,0.55,2026-01-02,0847,N20,VIIRS,n,2.0NRT,288.55,1.78,D
30.94597,70.65388,329.24,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,291.63,2.09,D
33.40797,71.93782,297.15,0.42,0.38,2026-01-02,2110,N20,VIIRS,n,2.0NRT,277.94,0.74,N
28.42662,69.69876,308.39,0.4,0.37,2026-01-02,2112,N20,VIIRS,n,2.0NRT,282.1,0.83,N
25.15972,66.78377,308.19,0.39,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,288.54,1.36,N
25.14028,66.90871,299.7,0.38,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,286.88,0.74,N
25.1364,66.91187,302.54,0.38,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,288.11,0.73,N
24.64748,67.84442,295.37,0.39,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,284.9,0.46,N
26.09507,68.87972,310.5,0.4,0.37,2026-01-02,2114,N20,VIIRS,n,2.0NRT,284.38,1.01,N
25.38132,68.66325,309.22,0.4,0.37,2026-01-02,2114,N20,VIIRS,n,2.0NRT,282.17,1.05,N
25.38834,68.58008,301.94,0.4,0.37,2026-01-02,2114,N20,VIIRS,n,2.0NRT,283.45,0.84,N
25.38769,68.58396,304.29,0.4,0.37,2026-01-02,2114,N20,VIIRS,n,2.0NRT,283.58,0.74,N
25.05174,67.49088,305.09,0.38,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,286.03,0.85,N
25.05443,67.49529,298.89,0.38,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,286.45,1.1,N
25.05114,67.49465,313.73,0.38,0.36,2026-01-02,2114,N20,VIIRS,n,2.0NRT,288.74,1.1,N
25.60172,68.63641,331.07,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,298.46,6.3,D
25.62198,68.73833,331.82,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.79,2.82,D
25.8028,69.32825,331.25,0.39,0.36,2026-01-03,0828,N20,VIIRS,n,2.0NRT,297.52,2.12,D
25.86996,68.81551,332.76,0.4,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.43,5.25,D
26.04446,68.33946,334.54,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.06,4.33,D
26.2287,68.32327,331.37,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.9,3.5,D
26.22269,68.28716,331.27,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.89,2.52,D
26.29207,68.24387,330.98,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.24,2.57,D
26.32104,68.28452,331.47,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.16,2.6,D
26.32433,67.9695,331.36,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,293.97,3.3,D
26.47983,68.16503,330.87,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.87,3.38,D
26.46846,67.94546,334.65,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,295.16,5.07,D
26.702,67.91054,329.75,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.17,2.5,D
26.82952,68.10334,328.5,0.41,0.37,2026-01-03,0828,N20,VIIRS,n,2.0NRT,294.54,2.47,D
